video_id,group_name,start_timestamp,end_timestamp,slide_id,interval_id,aoi_id,aoi_id_global,status,percent,aoi_upper_left_x,aoi_upper_left_y,aoi_lower_right_x,aoi_lower_right_y
1,control,0.0,3.333,0,1,4,0,0.0,0.371849738468854,0.28854166666666664,0.3277777777777778,0.496875,0.8333333333333334
1,control,3.333,8.333,1,0,0,1,0.0,0.42810026385224276,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,8.333,13.333,1,1,0,2,0.0,0.4786352040816326,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,13.333,18.333,1,2,0,3,0.0,0.35760940561724364,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,18.333,23.333,1,3,0,4,0.0,0.26081126382836073,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,23.333,28.333,1,4,0,5,0.0,0.3333333333333333,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,28.333,30.0,1,5,0,6,0.0,0.26791277258566976,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,30.0,35.0,2,0,0,7,0.0,0.173050139275766,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,35.0,40.0,2,1,9,8,0.0,0.14457831325301204,0.575,0.6981481481481482,0.740625,0.912962962962963
1,control,40.0,45.0,2,2,2,9,0.0,0.14112903225806453,0.07916666666666666,0.5,0.9229166666666667,0.6851851851851852
1,control,45.0,50.0,2,3,0,10,0.0,0.21314808539478142,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,50.0,55.0,2,4,0,11,0.0,0.2625173852573018,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,55.0,60.0,2,5,0,12,0.0,0.23001808318264014,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,60.0,65.0,2,6,2,13,0.0,0.17074981440237566,0.07916666666666666,0.5,0.9229166666666667,0.6851851851851852
1,control,65.0,70.0,2,7,0,14,0.0,0.16501650165016502,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,70.0,75.0,2,8,7,15,0.0,0.18299445471349354,0.4166666666666667,0.2796296296296296,0.728125,0.575925925925926
1,control,75.0,80.0,2,9,0,16,0.0,0.17994100294985252,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,80.0,85.0,2,10,0,17,0.0,0.17473309608540924,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,85.0,90.0,2,11,0,18,0.0,0.18487109905020352,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,90.0,95.0,2,12,5,19,0.0,0.20283344851416724,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,95.0,100.0,2,13,5,20,0.0,0.17846153846153845,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,100.0,105.0,2,14,5,21,0.0,0.17531797868683396,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,105.0,110.0,2,15,5,22,0.0,0.18758573388203018,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,110.0,115.0,2,16,5,23,0.0,0.19403496743229345,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,115.0,120.0,2,17,5,24,0.0,0.18501170960187355,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,120.0,125.0,2,18,5,25,0.0,0.16897133220910623,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,125.0,130.0,2,19,5,26,0.0,0.18082565677243262,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,130.0,135.0,2,20,5,27,0.0,0.16851292379993285,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,135.0,140.0,2,21,0,28,0.0,0.17713903743315507,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,140.0,145.0,2,22,5,29,0.0,0.18410596026490067,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,145.0,150.0,2,23,5,30,0.0,0.19508867667121418,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,150.0,155.0,2,24,9,31,0.0,0.18145025295109612,0.575,0.6981481481481482,0.740625,0.912962962962963
1,control,155.0,160.0,2,25,5,32,0.0,0.17281488866733133,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,160.0,165.0,2,26,5,33,0.0,0.19436052366565962,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,165.0,170.0,2,27,5,34,0.0,0.18238993710691823,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,170.0,175.0,2,28,0,35,0.0,0.20608108108108109,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,175.0,180.0,2,29,0,36,0.0,0.193687707641196,0.041666666666666664,0.06666666666666667,0.6833333333333333,0.17222222222222222
1,control,180.0,185.0,2,30,5,37,0.0,0.18402662229617303,0.25729166666666664,0.6925925925925925,0.4322916666666667,0.9111111111111111
1,control,185.0,190.0,2,31,2,38,0.0,0.1724137931034483,0.07916666666666666,0.5,0.9229166666666667,0.6851851851851852
